,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
1,30-34,rural,6,unprotected well,20.0,pit latrine without slab/open pit,no,no,49.0,2,0,6
2,20-24,rural,3,unprotected spring,120.0,no facility/bush/field,no,yes,23.0,0,0,1
3,40-44,rural,7,tube well or borehole,0.0,pit latrine without slab/open pit,no,yes,55.0,0,0,2
4,25-29,rural,7,tube well or borehole,0.0,pit latrine without slab/open pit,no,yes,55.0,0,0,3
5,25-29,rural,4,protected well,10.0,pit latrine without slab/open pit,no,yes,25.0,2,0,4
6,35-39,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,120.0,pit latrine without slab/open pit,no,yes,45.0,0,0,2
7,15-19,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,120.0,pit latrine without slab/open pit,no,yes,45.0,0,0,0
8,20-24,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,4.0,pit latrine without slab/open pit,no,no,36.0,0,0,1
9,45-49,rural,5,protected well,15.0,pit latrine with slab,no,yes,69.0,0,0,2
10,35-39,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,pit latrine without slab/open pit,no,yes,78.0,0,0,5
11,25-29,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,yes,67.0,0,0,1
12,35-39,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,12.0,pit latrine without slab/open pit,no,no,35.0,4,1,9
13,20-24,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,12.0,pit latrine without slab/open pit,no,no,35.0,0,0,1
14,30-34,rural,6,unprotected well,15.0,ventilated improved pit latrine (vip),no,no,35.0,2,1,7
15,15-19,rural,3,protected well,2.0,no facility/bush/field,no,no,59.0,0,0,1
16,30-34,rural,8,protected well,5.0,pit latrine without slab/open pit,no,yes,32.0,0,0,5
17,35-39,rural,5,protected well,4.0,pit latrine without slab/open pit,no,yes,40.0,0,0,2
