,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Has electricity,Type of toilet facility,Has radio,Time to get to water source (minutes),Age of head of household,under-5 mortality
0,30-34,rural,6.0,unprotected well,no,,,,,0.21621621621621623
1,30-34,rural,6.0,unprotected well,,,,,,0.21621621621621623
2,30-34,rural,6.0,unprotected spring,no,pit latrine without slab/open pit,,,,0.16666666666666666
3,30-34,rural,6.0,unprotected spring,,pit latrine without slab/open pit,,,,0.16666666666666666
4,30-34,rural,6.0,unprotected spring,no,,no,,,0.15
5,30-34,rural,6.0,unprotected spring,no,,yes,,,0.1111111111111111
6,30-34,rural,6.0,unprotected spring,no,,,,,0.1276595744680851
7,30-34,rural,6.0,unprotected spring,,,no,,,0.15
8,30-34,rural,6.0,unprotected spring,,,yes,,,0.1111111111111111
9,30-34,rural,6.0,unprotected spring,,,,,,0.1276595744680851
10,30-34,rural,6.0,tube well or borehole,no,,no,,,0.24242424242424243
11,30-34,rural,6.0,tube well or borehole,no,,yes,,,0.07936507936507936
12,30-34,rural,6.0,tube well or borehole,no,,,,,0.16279069767441862
13,30-34,rural,6.0,tube well or borehole,,,no,,,0.24242424242424243
14,30-34,rural,6.0,tube well or borehole,,,yes,,,0.07936507936507936
15,30-34,rural,6.0,tube well or borehole,,,,,,0.16279069767441862
16,30-34,rural,6.0,tube well or borehole,no,pit latrine with slab,,,,0.171875
17,30-34,rural,6.0,tube well or borehole,,pit latrine with slab,,,,0.171875
18,30-34,rural,6.0,protected well,no,,,,,0.16049382716049382
19,30-34,rural,6.0,protected well,no,,yes,,,0.20454545454545456
20,30-34,rural,6.0,protected well,,,,,,0.16049382716049382
21,30-34,rural,6.0,protected well,,,yes,,,0.20454545454545456
22,30-34,rural,6.0,protected well,no,ventilated improved pit latrine (vip),,,,0.1111111111111111
23,30-34,rural,6.0,protected well,,ventilated improved pit latrine (vip),,,,0.1111111111111111
24,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.24
25,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,yes,,,0.30434782608695654
26,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.24
27,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,yes,,,0.30434782608695654
28,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,,,0.13559322033898305
29,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,,,0.13559322033898305
30,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,,,0.14102564102564102
31,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.25287356321839083
32,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.2
33,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,,,0.14102564102564102
34,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.25287356321839083
35,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.2
36,30-34,rural,6.0,,no,,,20.0,,0.11864406779661017
37,30-34,rural,6.0,,,,,20.0,,0.11864406779661017
38,30-34,rural,6.0,,no,pit latrine without slab/open pit,no,,,0.12903225806451613
39,30-34,rural,6.0,,no,pit latrine without slab/open pit,yes,,,0.23684210526315788
40,30-34,rural,6.0,,no,pit latrine without slab/open pit,,,,0.18840579710144928
41,30-34,rural,6.0,,,pit latrine without slab/open pit,no,,,0.12903225806451613
42,30-34,rural,6.0,,,pit latrine without slab/open pit,yes,,,0.23684210526315788
43,30-34,rural,6.0,,,pit latrine without slab/open pit,,,,0.18840579710144928
44,30-34,rural,6.0,,no,no facility/bush/field,no,,,0.13846153846153847
45,30-34,rural,6.0,,no,no facility/bush/field,yes,,,0.18055555555555555
46,30-34,rural,6.0,,no,no facility/bush/field,,,,0.16058394160583941
47,30-34,rural,6.0,,,no facility/bush/field,no,,,0.13846153846153847
48,30-34,rural,6.0,,,no facility/bush/field,yes,,,0.18055555555555555
49,30-34,rural,6.0,,,no facility/bush/field,,,,0.16058394160583941
50,30-34,rural,6.0,,no,pit latrine with slab,no,,,0.2553191489361702
51,30-34,rural,6.0,,no,pit latrine with slab,yes,,,0.12280701754385964
52,30-34,rural,6.0,,no,pit latrine with slab,,,,0.18269230769230768
53,30-34,rural,6.0,,,pit latrine with slab,no,,,0.2553191489361702
54,30-34,rural,6.0,,,pit latrine with slab,yes,,,0.12280701754385964
55,30-34,rural,6.0,,,pit latrine with slab,,,,0.18269230769230768
56,30-34,rural,6.0,,no,ventilated improved pit latrine (vip),no,,,0.18840579710144928
57,30-34,rural,6.0,,no,ventilated improved pit latrine (vip),yes,,,0.09523809523809523
