,Age in 5-year groups,Type of place of residence,Number of household members,Has electricity,under-5 mortality,Type of toilet facility,Has radio,Time to get to water source (minutes),Source of drinking water
0,30-34,rural,6.0,no,0.16923076923076924,,,,
1,30-34,rural,6.0,,0.16923076923076924,,,,
2,30-34,rural,,no,0.17391304347826086,pit latrine without slab/open pit,no,,
3,30-34,rural,,no,0.19129082426127528,pit latrine without slab/open pit,yes,,
4,30-34,rural,,no,0.18383658969804617,pit latrine without slab/open pit,,,
5,30-34,rural,,,0.19129082426127528,pit latrine without slab/open pit,yes,,
6,30-34,rural,,,0.18351063829787234,pit latrine without slab/open pit,,,
7,30-34,rural,,no,0.18518518518518517,no facility/bush/field,no,,
8,30-34,rural,,no,0.1980440097799511,no facility/bush/field,yes,,
9,30-34,rural,,no,0.1912442396313364,no facility/bush/field,,,
10,30-34,rural,,,0.1980440097799511,no facility/bush/field,yes,,
11,30-34,rural,,,0.1912442396313364,no facility/bush/field,,,
12,30-34,rural,,no,0.17148760330578514,pit latrine with slab,,,
13,30-34,rural,,,0.17148760330578514,pit latrine with slab,,,
14,30-34,rural,,no,0.18837675350701402,ventilated improved pit latrine (vip),,,
15,30-34,rural,,,0.18627450980392157,ventilated improved pit latrine (vip),,,
16,30-34,rural,,no,0.1841100076394194,,no,,
17,30-34,rural,,no,0.1841952353282975,,yes,,
18,30-34,rural,,no,0.18415841584158416,,,,
19,30-34,rural,,,0.1836027713625866,,yes,,
20,30-34,rural,,,0.1837002957607624,,,,
21,30-34,rural,,no,0.20810313075506445,,,10.0,
22,30-34,rural,,,0.2062043795620438,,,10.0,
23,30-34,rural,,no,0.16205533596837945,,,,unprotected spring
24,30-34,rural,,,0.16205533596837945,,,,unprotected spring
25,30-34,rural,,no,0.18725868725868725,,,,tube well or borehole
26,30-34,rural,,,0.18725868725868725,,,,tube well or borehole
27,30-34,rural,,no,0.16483516483516483,,,,protected well
28,30-34,rural,,,0.16414686825053995,,,,protected well
29,30-34,rural,,no,0.19023136246786632,,,,river/dam/lake/ponds/stream/canal/irrigation channel
30,30-34,rural,,,0.18974358974358974,,,,river/dam/lake/ponds/stream/canal/irrigation channel
31,30-34,rural,5.0,no,0.17982456140350878,,,,
32,30-34,rural,5.0,,0.17787418655097614,,,,
33,30-34,urban,,no,0.1931931931931932,,,,
34,30-34,urban,,no,0.19034482758620688,,yes,,
